,global_id,OBJ_TYPE,OnTerritoryOfMoscow,ADDRESS,UNOM,P1,P3,P4,P5,P6,P7,P90,SIMPLE_ADDRESS,P91,L1_TYPE,L1_VALUE,L2_TYPE,P0,L2_VALUE,L3_TYPE,P2,L3_VALUE,L4_TYPE,L4_VALUE,L5_TYPE,L5_VALUE,ADM_AREA,DISTRICT,NREG,DREG,N_FIAS,D_FIAS,KAD_N,KAD_ZU,KLADR,TDOC,NDOC,DDOC,ADR_TYPE,VID,SOSTAD,STATUS,geoData,geodata_center
1,645622141,Здание,да,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Вешняки, Косинская улица, дом 26А",2102436,город Москва,,,муниципальный округ Вешняки,,Косинская улица,,"Косинская улица, дом 26А",,дом,26А,,Российская Федерация,,,внутригородская территория муниципальный округ Вешняки,,,,,,Восточный административный округ,муниципальный округ Вешняки,3303053,03.08.2004,235212A3-01E8-4CC3-87D5-59F00C83898A,27.02.2012,"KAD_N:77:03:0007004:1064

","KAD_ZU:77:03:0007004:6443

",77000000000040000,Распоряжение префектуры АО города Москвы,875-В-РП,28.07.2004,Официальный,Адрес,Зарегистрирован в АР,Внесён в ГКН,"{coordinates=[[[37.827950455, 55.717660993], [37.828619505, 55.717440193], [37.8284662, 55.717292031], [37.828040499, 55.717432615], [37.827979538, 55.717452741], [37.827797149, 55.717512829], [37.827950455, 55.717660993]]], type=Polygon}","{coordinates=[37.828189394, 55.717482785], type=Point}"
2,645622142,Здание,да,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Гороховский переулок, дом 21",5783,город Москва,,,муниципальный округ Басманный,,Гороховский переулок,,"Гороховский переулок, дом 21",,дом,21,,Российская Федерация,,,внутригородская территория муниципальный округ Басманный,,,,,,Центральный административный округ,муниципальный округ Басманный,1011856,13.07.2005,533D296D-1ECC-49EA-9156-DCFA8E38E4D8,27.02.2012,"KAD_N:77:01:0003010:1018

","KAD_ZU:77:01:0003010:4146

",77000000000112200,Распоряжение префектуры АО города Москвы,3026-р,04.07.2005,Официальный,Адрес,Зарегистрирован в АР,Внесён в ГКН,"{coordinates=[[[37.668299521, 55.766243148], [37.668315336, 55.766216182], [37.668246771, 55.766202355], [37.668261022, 55.766182126], [37.668187668, 55.76616606], [37.668172624, 55.766187186], [37.668129571, 55.766178264], [37.668146162, 55.766146356], [37.668053683, 55.76612852], [37.668028316, 55.766157295], [37.667826607, 55.766116256], [37.667772749, 55.766188183], [37.667750422, 55.766182824], [37.667709247, 55.766240363], [37.667943647, 55.766288545], [37.667927035, 55.766315512], [37.668032275, 55.766336925], [37.668049686, 55.766310405], [37.668264952, 55.766354569], [37.668302916, 55.766291646], [37.668331407, 55.766248494], [37.668299521, 55.766243148]]], type=Polygon}","{coordinates=[37.668013072, 55.766228272], type=Point}"
3,645622174,Здание,да,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокол, Ленинградский проспект, дом 73А, строение 3",2133081,город Москва,,,муниципальный округ Сокол,,Ленинградский проспект,,"Ленинградский проспект, дом 73А, строение 3",,дом,73А,,Российская Федерация,,строение,внутригородская территория муниципальный округ Сокол,3,,,,,Северный административный округ,муниципальный округ Сокол,9004656,05.11.2003,2F3D29A6-D703-45DD-A46D-877D4B2EF7F5,24.11.2011,"KAD_N:77:09:0005002:1090

","KAD_ZU:77:09:0005002:45

",77000000000168500,Распоряжение префектуры АО города Москвы,9169,31.10.2003,Официальный,Адрес,Зарегистрирован в АР,Внесён в ГКН,"{coordinates=[[[37.513646239, 55.803629636], [37.513758579, 55.803456814], [37.513679082, 55.80343943], [37.513573407, 55.803418906], [37.513574021, 55.803417676], [37.513567447, 55.803416157], [37.51356851, 55.803413936], [37.513558605, 55.803412158], [37.513556217, 55.803415587], [37.513545089, 55.803413129], [37.513532127, 55.803432096], [37.513580352, 55.803442582], [37.513554475, 55.803482464], [37.513527727, 55.803476693], [37.513494311, 55.803525855], [37.513376544, 55.803500746], [37.513446352, 55.803400465], [37.513407507, 55.803388067], [37.513244876, 55.803528425], [37.513403735, 55.803726137], [37.51344276, 55.803711835], [37.513508416, 55.803724697], [37.51354113, 55.803673527], [37.513604374, 55.803687766], [37.513646239, 55.803629636]]], type=Polygon}","{coordinates=[37.513482336, 55.803579031], type=Point}"
